Valor exportado em 2020 (USD bilhäes);Participa‡Æo do Brasil no mercado de exporta‡Æo (%);Distƒncia m‚dia entre o pa¡s parceiro e o fornecedor (km);Concentra‡Æo de todos os pa¡ses fornecedores do pa¡s parceiro;imposto m‚dio (estimado) encarado pelo Brasil (%);PIB do pa¡s parceiro (USD bilhäes)
0.079827;1.6;4551;0.37;25.1;1076.00
0.000015;0;1715;0.56;25.9;1076.00
0.004307;0.1;5291;0.47;6.3;1076.00
0.000001;0;1739;0.88;16;1076.00
0.009121;0.2;1906;0.9;59.8;1076.00
0.000398;0;3797;0.48;15.9;1076.00
0.00026;0;1624;1;0;1076.00
0.000762;0;2328;0.15;20.2;11.91
0.004184;0.1;1500;0.34;23.5;11.91
0.000146;0;2038;0.81;5;13.14
0.011282;0.2;4944;0.35;8.6;4.78
0.001029;0;3987;0.24;0;4.78
0.000001;0;9061;0.38;21.2;4.78
0.000001;0;1253;0.23;6.3;4.78
0.001339;0;2096;0.23;17.7;4.78
0.00001;0;;0.36;13.2;0.063
0.000003;0;;0.53;5;0.063
0.000132;0;;0.5;0.2;0.063
0.178055;3;7819;0.41;2.5;113.00
0.006708;0;7160;0.64;2.5;113.00
0.004809;0.1;6534;0.1;11.1;113.00
0.401198;4.6;6935;0.99;39.6;113.00
0.000162;0;4430;0.12;6.4;113.00
0.00044;0;1367;0.77;154.6;113.00
0.000001;0;778;0.98;49;113.00
0.000937;0;6362;0.48;97.9;113.00
0.000179;0;3946;0.14;31.2;113.00
0.004374;0.1;7646;0.59;2.5;113.00
0.000007;0;6156;0.51;20;14.02
0.000012;0;3513;0.22;7.5;14.02
0.000002;0;6028;0.15;12.7;14.02
0.000265;0;1400;0.85;19.9;14.02
0.003653;0.1;8014;0.12;20;14.02
0.000001;0;1598;0.75;19.9;14.02
0.000341;0;4110;0.49;15;76.19
0.000041;0;6742;0.36;15;76.19
0.021101;0.4;12398;0.29;1.5;76.19
0.000144;0;3235;0.52;8;10.7
0.003484;0.1;8596;0.17;28.5;10.7
0.001364;0;1420;0.9;10;33.66
0.064933;1.1;2191;0.28;0;912.00
1.109035;3.9;7754;0.38;0;912.00
0.079041;1.6;1737;0.15;2.1;912.00
0.0251;0.3;2525;0.17;50.4;912.00
0.003248;0.1;3655;0.09;4.3;912.00
0.062235;8.1;3458;0.09;38.7;912.00
0.049675;0.7;2831;0.11;55.4;912.00
0.000051;0;432;0.37;18.2;912.00
0.055963;1;1422;0.15;19.2;912.00
0.485882;30.3;6014;0.16;28;912.00
0.688474;11.7;8763;0.49;0;912.00
0.003071;0.1;14640;0.3;0;10.00
0.000107;0;9822;0.23;0;10.00
0.007875;0.2;12545;0.08;1;212.00
0.021276;0.2;10358;0.19;0;212.00
0.000005;0;11728;0.16;0;212.00
0.003815;0.2;9694;0.12;4.5;212.00
0.000011;0;10176;0.95;0;212.00
0.005682;0.1;3339;0.85;10.7;12.62
0.000001;0;4716;0.55;55;12.62
0.000039;0;4690;0.31;5.1;12.62
0.000082;0;3135;0.99;5;12.62
0.000678;0;5770;0.68;17.7;13.68
0.000401;0;3750;0.41;35;13.68
0.000047;0;8424;0.82;5;432.00
0.437775;5;6228;1;17.3;432.00
0;;10630;0.68;26.7;432.00
0.000052;0;18523;1;0;1.8
0.125055;0.4;9022;0.65;11.7;362.00
0.033651;0.7;6793;0.14;0;362.00
0.000103;0;674;0.68;7.9;362.00
0.000005;0;4074;0.08;0;362.00
0.000014;0;4620;0.32;238.1;362.00
0.000128;0;9647;0.2;225.7;362.00
0.000088;0;984;0.78;168.8;362.00
0.000059;0;1411;0.23;142.3;362.00
0.000556;0;3702;0.13;41.9;362.00
0.000942;0;9245;0.65;18.9;362.00
0.000005;0;;;0;
0.000013;0;;;;
0.003581;0.1;7926;0.28;0;76.33
0.001067;0;5247;0.11;0;76.33
0.001236;0;4249;0.27;0;76.33
0.000242;0;7772;0.29;0;76.33
0.001211;0;2939;0.81;5;76.33
0.000034;0;6137;0.7;100;76.33
0.095982;1.7;10841;0.66;5;76.33
0.000128;0;1928;0.7;5;76.33
0.0018;0;7709;0.4;9.5;264.00
0.416187;1.5;12877;0.51;3;264.00
0.012545;11.2;3897;0.41;11;264.00
0.010563;0.1;3564;0.39;17.8;264.00
0.420752;12.7;10009;0.21;13.8;264.00
0.000171;0;7013;0.27;20;264.00
0.000049;0;5847;0.21;20;264.00
0.000053;0;8495;0.28;11;264.00
0.000002;0;3662;0.95;23.9;52.94
0.000025;0;2598;0.24;35.5;52.94
0.000042;0;1438;0.45;128.8;52.94
0.000259;0;13039;0.44;0;52.94
0.00012;0;2617;0.46;29.9;52.94
0.000284;0;4070;0.84;25.3;52.94
0.000365;0;3898;0.77;69.9;52.94
0.000332;0;3723;0.94;94.5;52.94
0.000465;0;4056;0.31;8;52.94
0.041224;0.7;1319;0.9;0;35.3
0.003306;0;1116;0.49;0;35.3
0.000021;0;1345;1;0;35.3
0.002514;0.1;2223;0.58;0;35.3
0.000048;0;843;1;29.3;35.3
0.010542;0.3;9821;0.32;0;35.3
0;;3536;0.25;0;35.3
0.000363;0;8091;0.21;0;35.3
0.000184;0;;;0;35.3
0.000138;0;1345;1;0;35.3
0.001272;0.1;1801;0.49;0;35.3
0;;843;1;0;35.3
0.005975;0.1;3453;0.66;0;202.00
0.000593;0;6114;0.2;0.2;202.00
0.016017;0.2;2351;0.36;0;202.00
0.00609;0.2;12999;0.37;0.1;202.00
0.007247;0.9;3368;0.31;1.1;202.00
0.010274;0.2;3861;0.33;1.1;202.00
0.044424;0.8;3976;0.46;0.6;202.00
0.000362;0;7020;0.22;0.1;202.00
0.000107;0;2446;0.46;0;202.00
0.00977;0.2;5061;0.31;21.1;361.00
0.005878;5.3;11181;0.33;4.7;361.00
0.00161;0;2402;0.65;40;361.00
0.000214;0;2501;0.7;56.1;361.00
0.000007;0;5842;0.98;10;361.00
0.133071;2;10932;0.21;10;361.00
0.008467;0.4;12411;0.22;40;361.00
0.035546;0.6;12829;0.22;33.4;361.00
0.00157;0.1;8537;0.14;7.5;361.00
0.002915;0;13887;0.7;0;361.00
0.000012;0;1671;0.21;0;594.00
0.025817;0.5;2943;0.21;2.1;594.00
0.000002;0;2260;0.2;50.4;594.00
0.000011;0;2851;0.11;4.3;594.00
0.000136;0;1000;0.18;18.2;594.00
0.000017;0;957;0.2;19.2;594.00
0.000027;0;3365;0.11;28;594.00
0.228899;3.9;9983;0.35;0;594.00
0.124171;2.1;4453;0.28;0;231.00
0.146805;0.5;5738;0.35;0;231.00
0.012712;0.3;3368;0.14;2.1;231.00
0.006907;0.1;5933;0.14;50.4;231.00
0.008767;0.3;5665;0.16;4.3;231.00
0.00103;0.1;1258;0.37;38.7;231.00
0.001201;0;1910;0.33;55.4;231.00
0.000028;0;615;0.92;18.2;231.00
0.001926;0;1119;0.39;19.2;231.00
0.00069;0;1272;0.33;28;231.00
0.00006;0;4120;0.28;0;231.00
0.000332;0;4627;0.11;0;146.00
0.000019;0;4166;0.62;0;146.00
0.009398;1.2;8730;0.18;0;146.00
0.011734;0.2;6743;0.22;5;146.00
0.102075;1.8;9685;0.42;5;146.00
0.000212;0;3184;0.17;5;146.00
0.000232;0;7928;0.66;6.4;10.88
0.009511;0.1;6385;0.21;20;10.88
0.000057;0;5156;0.26;10;10.88
0.008526;0.4;6596;0.24;10;10.88
0.013148;0.2;7339;0.13;10;10.88
0.07615;0.3;6501;0.31;0;249.00
0.007161;0.1;1928;0.15;2.1;249.00
0.000058;0;966;0.2;19.2;249.00
0.146206;2.5;8837;0.49;0;249.00
0.386639;1.4;11144;0.37;0;1484.00
0;;1681;0.89;5;1484.00
0.111321;2.2;6736;0.12;1.4;1484.00
0.047879;0.5;1929;0.74;22.6;1484.00
0.000087;0;1428;0.84;20;1484.00
0.184749;2.8;9829;0.24;20;1484.00
0.000297;0;9412;0.25;48.8;1484.00
0.108767;2;5633;0.45;60.1;1484.00
0.002433;0.2;5309;0.12;6.8;1484.00
0.000146;0;2954;0.71;0;1484.00
0.000014;0;7802;0.39;0;53.13
0.000015;0;2899;0.39;25.9;0.93
0.002267;0;3977;0.49;0.4;0.93
0.000042;0;1502;0.48;27.5;0.81
0.000003;0;9658;0.96;8.8;0.81
0.000885;0;5672;0.59;5;0.47
0.000271;0;5352;0.21;20;0.47
0.131784;2.3;11413;0.33;0;700.00
0.112082;0.4;11184;0.42;0;700.00
0.012179;10.9;4309;0.4;0;700.00
0.013658;0.3;3963;0.25;0;700.00
0.374432;4.3;9284;0.68;0;700.00
0.055945;7.3;6944;0.16;0;700.00
0.102499;1.5;8212;0.26;5;700.00
0.000001;0;;;100;700.00
0.688258;12.4;8663;0.53;19;700.00
0.009533;0.6;5689;0.09;5;700.00
0.015064;0.3;12507;0.82;0;700.00
0.000087;0;6939;0.34;7.5;24.91
0.075963;0.9;4923;0.58;17.7;24.91
0;;10608;0.43;26.7;24.91
0.00043;0;9034;0.64;35;24.91
0.000086;0;5218;0.22;35;24.91
0.000005;0;6366;0.35;15;24.91
0.005864;0.1;1029;0.81;30;52.96
0.000627;0;908;0.13;29.4;52.96
0.000092;0;2811;0.23;18;52.96
0.000012;0;5370;0.23;0;1.12
0.001441;0;7205;0.12;0;1.12
0.00122;0.1;7484;0.11;15;1.12
0.002294;0;8149;0.22;21.9;1.12
0.000026;0;4608;0.86;19.7;3.87
0.007946;0.1;4450;0.46;20;3.87
0.004009;0.1;6456;0.22;20;3.87
0.000215;0;4325;0.32;0;340.00
0.002036;0;8577;0.12;0;340.00
0.000067;0;3214;0.23;0;340.00
0.000001;0;3665;0.15;0;340.00
0.000703;0.1;7420;0.4;0;340.00
0.076211;1.1;13800;0.42;0;340.00
0.126125;5.9;12535;0.26;0;340.00
0.196225;3.5;14733;0.59;0;340.00
0.002397;0.1;4234;0.18;0;340.00
0.013426;0.3;1135;0.21;2.1;105.00
0.000163;0;691;0.29;50.4;105.00
0.000023;0;1701;0.48;4.3;105.00
0.000001;0;1697;0.18;55.4;105.00
0.038214;0.8;4136;0.17;2.1;52.88
0.000132;0;716;0.16;50.4;52.88
0.249839;4.2;8783;0.8;0;52.88
0.072965;0.8;5702;0.58;;4.92
0.001223;0;6708;0.28;;4.92
0.000034;0;9860;0.3;0;302.00
0.011012;0;6418;0.72;8;302.00
0.026175;0.5;7829;0.19;0.4;302.00
0.047132;0.5;1029;0.76;50;302.00
0.000027;0;6988;0.16;16.3;302.00
0.000001;0;2906;0.42;40;302.00
0.000163;0;2897;0.33;40;302.00
0.007825;0.4;8793;0.22;8;302.00
0.124444;2.2;9300;0.25;28.5;302.00
0.000017;0;10002;0.36;16.5;302.00
0.423347;7.2;13006;0.18;424.4;1631.00
0.199981;0.7;12807;0.42;487;1631.00
0.083388;1.7;11122;0.09;3.4;1631.00
0.01988;0.2;9210;0.28;9;1631.00
0.077615;2.3;5767;0.16;6.6;1631.00
0.000071;0;9707;0.53;40;1631.00
0.002257;0;9726;0.46;40;1631.00
0.010992;0.5;10430;0.18;24.4;1631.00
0.196478;3.5;15520;0.65;21.4;1631.00
0.006943;0.4;8964;0.13;48.4;1631.00
0.544179;9.2;17020;0.7;1.8;1631.00
0.384694;6.6;3700;0.22;0;1281.00
0.95674;3.3;7308;0.45;0;1281.00
0.10684;2.1;5327;0.13;2.1;1281.00
0.011639;0.1;3209;0.25;50.4;1281.00
0.000855;0;4143;0.13;4.3;1281.00
0.013032;1.7;2121;0.15;38.7;1281.00
0.013351;0.2;2985;0.11;55.4;1281.00
0;;1331;0.14;18.2;1281.00
0.028686;0.5;2248;0.18;19.2;1281.00
0.016994;1.1;3832;0.09;28;1281.00
0.309419;5.2;8347;0.35;0;1281.00
0.002911;0;1873;0.71;10.8;80.71
0.003049;0.1;3210;0.31;0;80.71
0.000061;0;10747;0.43;30;80.71
0.000134;0;11644;0.38;66.3;80.71
0.000003;0;;0.53;0;26.11
0.00002;0;;1;0;26.11
0.00735;0.1;;0.79;0;26.11
0.000573;0;;0.37;0;26.11
0.000607;0;3437;0.33;23.4;3.81
0.000029;0;13502;0.43;5;3.81
0.000001;0;5800;0.6;20;3.81
0.002511;0;4812;0.72;37.3;3.81
0.000286;0;6326;0.25;22.6;3.81
0.000071;0;3746;0.51;0;3.81
0.093989;1.9;6566;0.1;2.1;538.00
0.000087;0;3357;0.12;50.4;538.00
0.000003;0;1970;0.08;4.3;538.00
0.009317;1.2;1594;0.17;38.7;538.00
0.002598;0;1615;0.16;55.4;538.00
0.000001;0;490;0.39;19.2;538.00
0.000013;0;1006;0.19;28;538.00
0.009168;0.2;6892;0.08;0;748.00
0.001197;0;3057;0.18;0.4;748.00
0;;1487;0.12;1.5;748.00
0.000278;0;4645;0.14;164;748.00
0.001958;0;1021;0.33;207.5;748.00
0.000083;0;564;0.59;249.9;748.00
0.023997;0.4;2479;0.18;718.4;748.00
0.00083;0.1;3870;0.13;76.4;748.00
0.000608;0;2159;0.3;1;55.2
0.042292;0.8;9176;0.74;2.6;55.2
0.007169;0.1;3067;0.18;3.7;55.2
0.000001;0;10418;1;50;55.2
0.004046;0.1;3798;0.47;12.9;55.2
0.413155;7.1;16668;0.39;0;611.00
0.334953;1.2;14548;0.45;0;611.00
0.021586;0.4;11346;0.09;0;611.00
0.026883;0.3;9740;0.22;8.8;611.00
0.004641;0.1;7330;0.16;5.1;611.00
0.000001;0;12102;0.26;6;611.00
0.000001;0;10774;0.2;12.5;611.00
0.000001;0;12039;0.85;24.5;611.00
0.002898;0.2;6805;0.1;23.9;611.00
0.000674;0;11368;0.83;0;611.00
0.000166;0;8430;0.5;10;8.19
0.009714;0.1;4610;0.19;79.4;62.41
0.000167;0;2805;0.6;25;62.41
0.002748;0;9890;0.31;25;62.41
0.000001;0;767;0.73;25.4;502.00
0.911435;3.2;15390;0.54;80;502.00
0.000179;0;1663;0.49;90;502.00
0.000001;0;3448;0.53;94;502.00
0.029509;0.9;7567;0.18;3;502.00
0.000086;0;7016;0.85;50;502.00
0.006336;0.1;8778;0.28;50;502.00
0.000975;0;14387;0.45;31.7;502.00
0.002828;0.1;8374;0.3;37.5;502.00
0.002816;0.2;8484;0.13;22.1;502.00
0.768397;13;16313;0.72;64.5;502.00
0.089302;1;5574;0.7;17.7;7.57
0.000514;0;4731;0.13;35;7.57
0.001036;0;13351;1;;
0.000076;0;9825;0.8;0.4;0.51
0.000177;0;4329;0.92;0;21.53
0.000582;0;3847;0.38;27.6;21.53
0.003888;0;2692;0.27;36.1;21.53
0.000047;0;4117;0.31;22.2;21.53
0.000262;0;4913;0.35;0;39.24
0.085281;0.3;8317;0.53;0;39.24
0.018566;0.4;8303;0.44;17;39.24
0.079752;0.9;8417;0.81;1.7;39.24
0.000842;0;2072;0.14;10.3;39.24
0.002028;0;8202;0.47;36;39.24
0.000184;0;8295;1;36;39.24
0.000094;0;2490;0.34;36;39.24
0.058566;1;2127;0.18;23.9;720.00
0.720763;2.5;7724;0.52;0;720.00
0.152442;3.1;8571;0.54;13;720.00
0.009731;0.1;5331;0.23;135;720.00
0.359969;10.8;5685;0.11;4.6;720.00
0.001742;0.2;1093;0.5;199.9;720.00
0.049156;0.7;11843;0.32;209.1;720.00
0.000782;0;4651;0.19;225;720.00
0.015513;0.3;8154;0.35;62.2;720.00
0.002976;0.2;5296;0.2;58.5;720.00
0.178472;3;11686;0.67;5;720.00
0.000326;0;2817;0.53;0;45.23
0.000037;0;6435;0.26;0;45.23
0.00144;0;5638;0.32;0;45.23
0.004326;0;9540;0.7;0;156.00
0.008683;0.2;3826;0.11;1.2;156.00
0.00018;0;1130;0.43;10.3;156.00
0.016374;0.3;10626;0.3;0;421.00
0.013566;0.3;6478;0.08;0;421.00
0.31571;3.6;9681;0.6;0;421.00
0.04657;6.1;7735;0.21;0;421.00
0.108031;1.6;7847;0.28;5;421.00
0.026432;1.2;9747;0.4;0;421.00
0.425443;7.7;9778;0.53;5;421.00
0.002773;0.2;2882;0.39;5;421.00
0.021514;0.4;12290;0.5;0;421.00
0.021322;0.4;3403;0.16;0;2708.00
0.220984;0.8;7196;0.35;0;2708.00
0.096228;1.9;4225;0.09;2.1;2708.00
0.059024;0.7;6402;0.15;50.4;2708.00
0.000001;0;3710;0.08;4.3;2708.00
0.003293;0.4;793;0.68;38.7;2708.00
0.005131;0.1;961;0.52;55.4;2708.00
0.000099;0;821;0.18;18.2;2708.00
0.009967;0.2;1040;0.25;19.2;2708.00
0.021606;1.3;1470;0.13;28;2708.00
0.011866;0.2;7727;0.3;0;2708.00
0.018233;0.3;5593;0.23;0.1;20937.00
0.00012;0;7050;0.16;0;20937.00
0;;1465;0.9;1.6;20937.00
0.932208;18.7;6372;0.1;0;20937.00
0.296261;3.4;5154;0.17;15.6;20937.00
0.002977;0.1;10832;0.14;8.5;20937.00
0.00187;0.2;3972;0.33;10.8;20937.00
0.096069;1.4;10777;0.23;9.4;20937.00
0.033193;1.6;2994;0.41;0.1;20937.00
0.000429;0;5339;0.52;4.9;20937.00
0.326967;20.4;8125;0.08;6.3;20937.00
0.000543;0;10785;0.61;0.6;20937.00
0.000282;0;;0.41;0;0.000
0.000036;0;;0.43;0;0.000
0.000092;0;2625;0.58;0;53.63
0.000015;0;824;0.8;0;53.63
0.002763;0.1;4203;0.36;0;53.63
0.02327;0.3;2024;0.53;26.9;53.63
0.004823;0.1;5101;0.42;0;53.63
0.091675;11.9;1676;0.69;0;53.63
0.007252;0.1;6612;0.22;0;53.63
0.089253;4.2;1976;0.95;0;53.63
0.001551;0;2771;0.33;0;53.63
0.001064;0.1;1700;0.41;0;53.63
0.005603;0.1;853;0.45;0;53.63
0.0222;0.3;4317;0.46;25.4;57.71
0;;2121;0.32;42.4;57.71
0.00101;0;4757;0.12;61.3;57.71
0.000001;0;5557;0.55;30;0.85
0.024402;0.4;3983;0.31;0;482.00
0.000011;0;3996;1;0;482.00
0.014087;0.3;4792;0.75;0;482.00
0.175243;2;3859;0.95;0;482.00
0.000796;0;12527;0.31;0;482.00
0.000106;0;4512;0.42;0;482.00
0.002953;0.1;4128;0.58;0;482.00
0.000005;0;7590;0.2;0;482.00
0.000067;0;6214;0.56;0;482.00
0.634737;10.8;16385;0.49;13;271.00
0.239601;0.8;14782;0.41;0;271.00
0.058182;52.1;10151;0.18;5;271.00
0.009355;0.2;3713;0.47;17.4;271.00
0.003684;0;1070;0.69;82.2;271.00
0.519044;15.6;9102;0.24;6.6;271.00
0.000001;0;6823;0.87;14.3;271.00
0.001743;0;5780;0.45;14.5;271.00
0.081009;3.8;11535;0.2;16.9;271.00
0.049409;0.9;11252;0.26;21.4;271.00
0.000582;0;7690;0.08;26.6;271.00
0.261634;4.4;17237;0.65;1;271.00
0.000056;0;15571;0.76;4;
0.000049;0;5914;1;0;
5.853003;100;;;;93863.00
28.564147;100;;;;93863.00
0.111731;100;;;;93863.00
4.996305;100;;;;93863.00
8.744188;100;;;;93863.00
3.319722;100;;;;93863.00
0.767772;100;;;;93863.00
6.679114;100;;;;93863.00
2.120464;100;;;;93863.00
5.554532;100;;;;93863.00
0.160333;100;;;;93863.00
5.909220;100;;;;93863.00
0.213085;2.4;8271;0.55;5;23.49
0.135161;2.4;10060;0.89;10;23.49
0.000394;0;7965;0.13;25;19.32
0.000002;0;6490;0.28;7.8;16.77
